Thông tin chỉ tiêu tuyển sinh dự kiến theo từng ngành và theo từng phương thức năm 2025 tại các cơ sỏ của trường Đại học Ngoại Thương

- Mã trường: NTH (Trường Đại học Ngoại thương - Cơ sở phía Bắc);
- NTS (Trường Đại học Ngoại thương - Cơ sở II-TP. Hồ Chí Minh)

| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 3   | Tổ hợp xét tuyển 3              | Tổ hợp xét tuyển 4   | Tổ hợp xét tuyển 4   | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
|-----------------------------|-----------------------------|------------------------------------|--------------------------------------------------------------------------------------------------------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|---------------------------------|----------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính                       | Tổ hợp môn           | Môn chính            | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
| I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội             | I. Trụ sở chính Hà Nội                                                                                             |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 7.1                         | ĐHCQ                        | MKTH2.1                            | Chương trình ĐHNNQT Marketing số                                                                                   | 50                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường '-Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường |
| 8                           | Ngành Tài chính-Ngân hàng   | Ngành Tài chính-Ngân hàng          |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 8.1                         | ĐHCQ                        | TCHH4.1                            | Chương trình tiên tiến Tài chính-Ngân hàng                                                                         | 40                   |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 8.2                         | ĐHCQ                        | TCHH2.1                            | Chương trình CLC Ngân hàng và Tài chính quốc tế                                                                    | 120                  |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 8.3                         | ĐHCQ                        | TCHH1.1                            | Chương trình tiêu chuẩn Tài chính quốc tế                                                                          | 180                  | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 8.4                         | ĐHCQ                        | TCHH1.2                            | Chương trình tiêu chuẩn Ngân hàng                                                                                  | 180                  | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 8.5                         | ĐHCQ                        | TCHH1.3                            | Chương trình tiêu chuẩn Phân tích và đầu tư tài chính                                                              | 180                  | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 9                           | Ngành Kế toán               | Ngành Kế toán                      |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 9.1                         | ĐHCQ                        | KTKH2.1                            | Chương trình ĐHNNQT Kế toán - Kiểm toán theo định hướng ACCA                                                       | 80                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường '-Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường |
| 9.2                         | ĐHCQ                        | KTKH1.1                            | Chương trình tiêu chuẩn Kế toán - Kiểm toán                                                                        | 70                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
